microsample,cryosection,SampleType,Xcoord,Ycoord,size,shape,Xcoord_pixel_crop,Ycoord_pixel_crop
M303037,G006bI203A,Positive,10944.15838,21624.07142,4976,Elipse,565,710
M303039,G006bI203A,Positive,11152.69512,18283.0736,4976,Elipse,594,281
M303014,G006bI203A,Positive,12835.97476,22559.3833,5140,Elipse,821,830
M303032,G006bI203A,Positive,9818.98002,20160.88202,5140,Elipse,413,522
M303045,G006bI203A,Positive,10986.88272,21718.32588,5140,Elipse,571,722
M303020,G006bI203A,Positive,9122.95652,20686.6869,4976,Elipse,319,590
M303034,G006bI203A,Positive,9890.06018,20317.42922,4976,Elipse,423,542
M303049,G006bI203A,Positive,15329.00096,19079.50276,5140,Elipse,1158,383
M303017,G006bI203A,Positive,9850.4682,22049.6966,5140,Elipse,418,765
M303042,G006bI203A,Positive,10580.78478,22407.20238,5140,Elipse,516,811
M303041,G006bI203A,Positive,9988.02832,19753.34958,4976,Elipse,436,470
M303013,G006bI203A,Positive,10010.49056,17847.207,5140,Elipse,439,225
M303019,G006bI203A,Positive,9660.10244,21748.40404,4976,Elipse,392,726
M303055,G006bI203A,Positive,11380.43378,18924.45594,4976,Elipse,624,364
M303010,G006bI203A,Positive,9696.53012,22162.54104,5140,Elipse,397,779
M303030,G006bI203A,Positive,11059.521,20374.26384,5140,Elipse,581,550
M303057,G006bI203A,Positive,10353.0077,19648.00116,4976,Elipse,486,456
M303044,G006bI203A,Positive,11263.82832,17551.79056,5140,Elipse,609,187
M303048,G006bI203A,Positive,10583.47874,17194.4851,5140,Elipse,517,141
M303056,G006bI203A,Positive,10239.80642,20083.68478,4976,Elipse,470,512
M303050,G006bI203A,Positive,9939.09416,17811.73918,4976,Elipse,430,221
M303040,G006bI203A,Positive,11569.25234,18931.27964,4976,Elipse,650,364
M303036,G006bI203A,Positive,10992.77688,20525.28054,4976,Elipse,572,569
M303025,G006bI203A,Positive,9233.44868,20081.23288,4976,Elipse,334,512
M303046,G006bI203A,Positive,12461.49274,18808.23288,5140,Elipse,770,349
M303033,G006bI203A,Positive,9826.3982,20257.09332,5140,Elipse,414,535
M303027,G006bI203A,Positive,10909.59698,18403.96288,5140,Elipse,561,297
M303015,G006bI203A,Positive,9050.5456,21094.84188,5140,Elipse,310,642
M303047,G006bI203A,Positive,11244.40186,18087.99416,5140,Elipse,606,256
M303051,G006bI203A,Positive,10775.76814,19259.56468,4976,Elipse,543,407
M303018,G006bI203A,Positive,9719.78606,22481.66654,4976,Elipse,400,820
M303054,G006bI203A,Positive,10561.1842,18796.45106,4976,Elipse,514,347
M303021,G006bI203A,Positive,9220.72922,19865.00206,4976,Elipse,333,484
M303053,G006bI203A,Positive,10921.86724,19162.96686,4976,Elipse,562,394
M303024,G006bI203A,Positive,9195.86872,18969.9492,4976,Elipse,329,369
M303012,G006bI203A,Positive,11297.65016,17340.76686,5140,Elipse,613,160
M303026,G006bI203A,Positive,8764.34958,21932.78728,5140,Elipse,271,750
M303031,G006bI203A,Positive,11141.2228,22223.90096,5140,Elipse,592,787
M303035,G006bI203A,Positive,9912.56384,18985.75774,4976,Elipse,426,371
M303016,G006bI203A,Positive,9173.82652,21164.96198,5140,Elipse,326,651
M303029,G006bI203A,Positive,9458.74778,20237.19878,5140,Elipse,365,532
M303022,G006bI203A,Positive,9209.38362,20791.37784,4976,Elipse,331,603
